name	passID	start_time	stop_time
Lathrop, R4, NDG 94.3	30.0	2022-09-29 18:41:33.985000+00:00	2022-09-29 18:41:35.777000+00:00
Lathrop, R4, NDG 94.3	31.0	2022-09-29 18:42:55.009000+00:00	2022-09-29 18:42:56.801000+00:00
Lathrop, R4, NDG 94.3	32.0	2022-09-29 18:45:06.977000+00:00	2022-09-29 18:45:08.769000+00:00
Lathrop, R4, NDG 94.3	47.0	2022-09-29 18:57:42.945000+00:00	2022-09-29 18:57:44.865000+00:00
Lathrop, R4, NDG 94.3	48.0	2022-09-29 19:01:43.969000+00:00	2022-09-29 19:01:44.865000+00:00
Lathrop, R4, NDG 94.3	49.0	2022-09-29 19:02:39.905000+00:00	2022-09-29 19:02:41.825000+00:00
Lathrop, R4, NDG 94.3	51.0	2022-09-29 19:16:24.993000+00:00	2022-09-29 19:16:25.761000+00:00
Lathrop, R4, NDG 94.3	52.0	2022-09-29 19:16:40.993000+00:00	2022-09-29 19:16:42.785000+00:00
Lathrop, R4, NDG 94.3	119.0	2022-09-29 21:10:33.889000+00:00	2022-09-29 21:10:34.785000+00:00
Lathrop, R5, NDG 94.5	47.0	2022-09-29 18:58:20.961000+00:00	2022-09-29 18:58:22.753000+00:00
Lathrop, R5, NDG 94.5	48.0	2022-09-29 19:01:06.977000+00:00	2022-09-29 19:01:07.873000+00:00
Lathrop, R5, NDG 94.5	49.0	2022-09-29 19:03:17.921000+00:00	2022-09-29 19:03:19.841000+00:00
Lathrop, R5, NDG 94.5	51.0	2022-09-29 19:15:47.873000+00:00	2022-09-29 19:15:48.769000+00:00
Lathrop, R5, NDG 94.5	52.0	2022-09-29 19:17:18.881000+00:00	2022-09-29 19:17:19.777000+00:00
Lathrop, R5, NDG 94.5	119.0	2022-09-29 21:10:17.889000+00:00	2022-09-29 21:10:18.785000+00:00
Lathrop, R6, NDG 94	45.0	2022-09-29 18:55:26.881000+00:00	2022-09-29 18:55:28.801000+00:00
Lathrop, R6, NDG 94	46.0	2022-09-29 18:55:57.985000+00:00	2022-09-29 18:55:58.753000+00:00
Lathrop, R6, NDG 94	49.0	2022-09-29 19:03:59.905000+00:00	2022-09-29 19:07:22.785000+00:00
Lathrop, R6, NDG 94	51.0	2022-09-29 19:15:06.913000+00:00	2022-09-29 19:15:07.809000+00:00
Lathrop, R6, NDG 94	52.0	2022-09-29 19:17:59.969000+00:00	2022-09-29 19:18:00.865000+00:00
Lathrop, R3, NDG 95	0.0	2022-09-29 15:34:37.643000+00:00	2022-09-29 18:04:11.809000+00:00
Lathrop, R3, NDG 95	1.0	2022-09-29 15:39:05.731000+00:00	2022-09-29 15:39:07.523000+00:00
Lathrop, R3, NDG 95	16.0	2022-09-29 15:47:53.731000+00:00	2022-09-29 15:47:55.523000+00:00
Lathrop, R3, NDG 95	17.0	2022-09-29 15:49:44.707000+00:00	2022-09-29 15:49:46.499000+00:00
Lathrop, R3, NDG 95	18.0	2022-09-29 15:50:29.635000+00:00	2022-09-29 15:50:31.555000+00:00
Lathrop, R2, NDG 95	0.0	2022-09-29 15:37:09.707000+00:00	2022-09-29 15:37:11.499000+00:00
Lathrop, R2, NDG 95	1.0	2022-09-29 15:39:50.659000+00:00	2022-09-29 15:39:52.579000+00:00
Lathrop, R2, NDG 95	40.0	2022-09-29 17:43:24.745000+00:00	2022-09-29 17:45:30.697000+00:00
Lathrop, R2, NDG 95	41.0	2022-09-29 17:48:28.745000+00:00	2022-09-29 17:48:30.665000+00:00
Lathrop, R2, NDG 95	45.0	2022-09-29 17:59:22.825000+00:00	2022-09-29 17:59:23.593000+00:00
Lathrop, R2, NDG 95	119.0	2022-09-29 21:11:33.921000+00:00	2022-09-29 21:11:34.689000+00:00
Lathrop, R1, NDG 95	0.0	2022-09-29 15:33:26.731000+00:00	2022-09-29 15:33:28.523000+00:00
Lathrop, R1, NDG 95	40.0	2022-09-29 17:43:48.809000+00:00	2022-09-29 17:45:05.609000+00:00
Lathrop, R1, NDG 95	45.0	2022-09-29 17:59:46.761000+00:00	2022-09-29 18:00:48.713000+00:00
