,time,density,heading,latitude,longitude,passID,speed,temperature
100851,2022-09-29T18:41:33.985000Z,94.97,90.0,37.819072,-121.28913,30.0,2.934,171.86913669109344
100852,2022-09-29T18:41:34.113000Z,94.97,90.0,37.819072,-121.28913,30.0,2.934,172.1607308089733
100853,2022-09-29T18:41:34.241000Z,94.97,90.0,37.819072,-121.28913,30.0,2.934,171.2130381911993
100854,2022-09-29T18:41:34.369000Z,94.97,90.0,37.819072,-121.28913,30.0,2.934,170.7270286232233
100855,2022-09-29T18:41:34.497000Z,94.76,90.0,37.819072,-121.28913,30.0,2.934,171.48033820092678
100856,2022-09-29T18:41:34.625000Z,93.66,90.0,37.819072,-121.28913,30.0,2.934,171.96633659303188
100857,2022-09-29T18:41:34.753000Z,94.97,90.0,37.819072,-121.28913,30.0,2.934,173.32711957395077
100858,2022-09-29T18:41:34.881000Z,94.76,90.0,37.819072,-121.28913,30.0,2.934,175.2467955648899
100859,2022-09-29T18:41:35.009000Z,94.76,86.158,37.819073,-121.289115,30.0,2.958,175.80568857491016
100860,2022-09-29T18:41:35.137000Z,94.97,86.158,37.819073,-121.289115,30.0,2.958,175.85428796708584
100861,2022-09-29T18:41:35.265000Z,94.97,86.158,37.819073,-121.289115,30.0,2.958,176.4374829083681
100862,2022-09-29T18:41:35.393000Z,94.76,86.158,37.819073,-121.289115,30.0,2.958,176.8505810946226
100863,2022-09-29T18:41:35.521000Z,94.97,86.158,37.819073,-121.289115,30.0,2.958,176.31598331034184
100864,2022-09-29T18:41:35.649000Z,94.76,86.158,37.819073,-121.289115,30.0,2.958,176.65617793798447
100865,2022-09-29T18:41:35.777000Z,94.76,86.158,37.819073,-121.289115,30.0,2.958,175.53839191794395
101484,2022-09-29T18:42:55.009000Z,94.76,-90.0,37.819073,-121.289116,31.0,3.165,180.3012754023075
101485,2022-09-29T18:42:55.137000Z,94.76,-90.0,37.819073,-121.289116,31.0,3.165,181.29756182432175
101486,2022-09-29T18:42:55.265000Z,94.76,-90.0,37.819073,-121.289116,31.0,3.165,181.58915929496288
101487,2022-09-29T18:42:55.393000Z,93.66,-90.0,37.819073,-121.289116,31.0,3.165,181.10316537320614
101488,2022-09-29T18:42:55.521000Z,94.76,-90.0,37.819073,-121.289116,31.0,3.165,182.318150177598
101489,2022-09-29T18:42:55.649000Z,94.76,-90.0,37.819073,-121.289116,31.0,3.165,183.14433984458447
